id,﻿employeeid,territoryid
1,1,06897
2,1,19713
3,2,01581
4,2,01730
5,2,01833
6,2,02116
7,2,02139
8,2,02184
9,2,40222
10,3,30346
11,3,31406
12,3,32859
13,3,33607
14,4,20852
15,4,27403
16,4,27511
17,5,02903
18,5,07960
19,5,08837
20,5,10019
21,5,10038
22,5,11747
23,5,14450
24,6,85014
25,6,85251
26,6,98004
27,6,98052
28,6,98104
29,7,60179
30,7,60601
31,7,80202
32,7,80909
33,7,90405
34,7,94025
35,7,94105
36,7,95008
37,7,95054
38,7,95060
39,8,19428
40,8,44122
41,8,45839
42,8,53404
43,9,03049
44,9,03801
45,9,48075
46,9,48084
47,9,48304
48,9,55113
49,9,55439
